x	y	theta1	theta2	steps1	steps2	interval
3.024	4.836	141.613	53.701	0	-1	2
3.020	4.847	141.571	53.794	0	-1	2
3.016	4.858	141.529	53.885	0	-1	2
3.012	4.869	141.486	53.978	0	-1	2
3.008	4.880	141.445	54.068	0	-1	2
3.004	4.891	141.402	54.161	0	-1	2
3.000	4.901	141.360	54.252	0	-1	2
2.996	4.912	141.318	54.342	0	-1	2
2.992	4.923	141.276	54.433	0	-1	2
2.988	4.934	141.233	54.527	0	-1	2
2.984	4.945	141.190	54.617	0	-1	2
2.980	4.956	141.147	54.711	0	-1	2
2.976	4.967	141.104	54.802	0	-1	2
2.972	4.978	141.060	54.896	1	-1	2
2.968	4.989	141.018	54.987	0	-1	2
2.964	5.000	140.973	55.081	1	-1	2
2.960	5.011	140.931	55.172	0	-1	2
2.956	5.022	140.886	55.266	1	-1	2
2.952	5.032	140.843	55.357	0	-1	2
2.948	5.043	140.800	55.448	0	-1	2
2.944	5.054	140.755	55.542	1	-1	2
2.940	5.065	140.712	55.634	0	-1	2
2.930	5.067	140.757	55.723	-1	-1	2
2.919	5.067	140.821	55.812	-1	-1	2
2.907	5.067	140.887	55.904	-1	-1	2
2.895	5.067	140.950	55.993	-1	-1	2
2.884	5.068	141.016	56.085	-1	-1	2
2.872	5.068	141.079	56.174	-1	-1	2
2.860	5.068	141.145	56.266	-1	-1	2
2.849	5.068	141.208	56.355	-1	-1	2
2.837	5.068	141.273	56.448	-1	-1	2
2.826	5.068	141.336	56.537	-1	-1	2
2.814	5.068	141.401	56.630	-1	-1	2
2.802	5.069	141.464	56.719	-1	-1	2
2.791	5.069	141.527	56.808	-1	-1	2
2.780	5.069	141.590	56.898	-1	-1	2
2.768	5.069	141.655	56.991	-1	-1	2
2.756	5.069	141.717	57.080	-1	-1	2
2.744	5.069	141.782	57.173	-1	-1	2
2.733	5.070	141.844	57.263	-1	-1	2
2.721	5.070	141.908	57.355	-1	-1	2
2.710	5.070	141.971	57.445	-1	-1	2
2.698	5.070	142.035	57.538	-1	-1	2
2.686	5.070	142.097	57.628	-1	-1	2
2.675	5.070	142.161	57.721	-1	-1	2
2.663	5.070	142.223	57.811	-1	-1	2
2.660	5.059	142.307	57.772	-1	0	2
2.658	5.049	142.389	57.733	-1	0	2
