x	y
1.191	3.576
1.231	3.613
1.275	3.646
1.275	3.646
1.333	3.666
1.392	3.679
1.452	3.685
1.513	3.682
1.513	3.682
1.573	3.679
1.633	3.677
1.693	3.678
1.754	3.682
1.814	3.688
1.814	3.688
1.862	3.740
1.862	3.740
1.921	3.770
1.986	3.782
1.986	3.782
2.047	3.788
2.109	3.792
2.171	3.793
2.233	3.792
2.295	3.788
2.295	3.788
2.325	3.788
2.354	3.789
2.354	3.789
2.383	3.790
2.412	3.791
2.412	3.791
2.474	3.797
2.534	3.810
2.592	3.831
2.647	3.859
2.698	3.894
2.745	3.934
2.786	3.980
2.786	3.980
2.765	3.983
2.765	3.983
2.713	3.983
2.713	3.983
2.684	3.982
2.656	3.982
2.627	3.981
2.598	3.981
2.570	3.980
2.541	3.980
2.541	3.980
2.484	3.979
2.426	3.979
2.369	3.981
2.311	3.983
2.254	3.986
2.197	3.991
2.140	3.996
2.140	3.996
2.107	4.024
2.107	4.024
2.066	4.092
1.996	4.129
1.996	4.129
1.922	4.140
1.846	4.143
1.846	4.143
1.815	4.145
1.783	4.147
1.783	4.147
1.752	4.148
1.721	4.149
1.689	4.150
1.658	4.151
1.658	4.151
1.626	4.152
1.595	4.153
1.563	4.153
1.532	4.154
1.501	4.155
1.469	4.155
1.469	4.155
1.411	4.157
1.353	4.154
1.295	4.146
1.238	4.133
1.182	4.115
1.129	4.092
1.129	4.092
1.075	4.069
1.023	4.042
0.972	4.012
0.923	3.980
0.876	3.944
0.831	3.906
0.789	3.866
0.749	3.823
0.749	3.823
0.711	3.771
0.685	3.712
0.671	3.650
0.671	3.585
0.671	3.585
0.678	3.522
0.678	3.458
0.671	3.394
0.671	3.394
0.652	3.340
0.632	3.287
0.611	3.235
0.589	3.183
0.566	3.131
0.541	3.080
0.515	3.029
0.515	3.029
0.488	2.981
0.462	2.932
0.437	2.882
0.412	2.831
0.390	2.780
0.368	2.729
0.347	2.677
0.328	2.624
0.310	2.571
0.310	2.571
0.288	2.512
0.272	2.451
0.260	2.389
0.253	2.326
0.252	2.263
1.507	1.996
1.552	2.035
1.598	2.073
1.644	2.110
1.691	2.147
1.739	2.183
1.787	2.218
1.835	2.252
1.835	2.252
1.879	2.286
1.922	2.321
1.964	2.356
2.006	2.392
2.006	2.392
2.045	2.432
2.082	2.473
2.117	2.516
2.149	2.561
2.180	2.607
2.208	2.655
2.208	2.655
2.239	2.679
2.239	2.679
2.258	2.643
2.258	2.643
2.277	2.587
2.302	2.533
2.332	2.482
2.366	2.434
2.405	2.389
2.405	2.389
2.452	2.345
2.501	2.303
2.552	2.262
2.604	2.224
2.604	2.224
2.635	2.152
2.635	2.152
2.625	2.094
2.613	2.036
2.598	1.979
2.582	1.922
2.582	1.922
2.573	1.889
2.564	1.855
2.554	1.822
2.554	1.822
2.544	1.788
2.534	1.754
2.524	1.720
2.524	1.720
2.516	1.693
