x	y
9.004	4.672
9.008	4.656
8.987	4.652
8.965	4.650
8.943	4.648
8.921	4.647
8.899	4.645
8.877	4.644
8.855	4.643
8.833	4.643
8.811	4.642
8.789	4.642
8.767	4.642
8.745	4.645
8.723	4.647
8.701	4.649
8.679	4.652
8.657	4.654
8.635	4.657
8.613	4.659
8.591	4.662
8.569	4.664
8.547	4.667
8.526	4.670
8.505	4.677
8.484	4.684
8.463	4.690
8.441	4.697
8.420	4.704
8.399	4.711
8.378	4.718
8.357	4.724
8.336	4.731
8.315	4.738
8.295	4.746
8.276	4.757
8.257	4.768
8.237	4.779
8.218	4.790
8.199	4.801
8.179	4.811
8.160	4.822
8.141	4.833
8.121	4.844
8.102	4.855
8.084	4.867
8.067	4.881
8.050	4.896
8.033	4.910
8.016	4.924
7.999	4.938
7.983	4.952
7.966	4.966
7.949	4.980
7.932	4.995
7.915	5.009
7.898	5.023
7.883	5.039
7.868	5.055
7.853	5.071
7.838	5.087
7.823	5.103
7.807	5.120
7.793	5.136
7.779	5.153
7.765	5.170
7.752	5.188
7.738	5.205
7.724	5.222
7.710	5.240
7.698	5.257
7.686	5.276
7.673	5.294
7.661	5.313
7.649	5.331
7.637	5.349
7.625	5.368
7.614	5.387
7.603	5.406
7.592	5.425
7.581	5.444
7.569	5.463
7.558	5.482
7.547	5.502
7.536	5.520
7.525	5.539
7.514	5.558
7.502	5.577
7.491	5.596
7.479	5.615
7.468	5.634
7.456	5.652
7.442	5.670
7.428	5.687
7.414	5.704
7.401	5.722
7.387	5.739
7.372	5.755
7.356	5.770
7.339	5.785
7.323	5.799
7.306	5.814
7.290	5.828
7.271	5.839
7.252	5.851
7.233	5.862
7.214	5.873
7.195	5.884
7.174	5.892
7.154	5.900
7.133	5.908
7.112	5.914
7.091	5.919
7.069	5.925
7.048	5.930
7.026	5.931
7.006	5.928
7.015	5.911
7.033	5.898
7.050	5.884
7.065	5.869
7.081	5.853
7.096	5.838
7.110	5.821
7.125	5.804
7.139	5.787
7.152	5.769
7.164	5.751
7.174	5.732
7.183	5.711
7.193	5.691
7.201	5.671
7.207	5.650
7.214	5.629
7.218	5.608
7.221	5.586
7.224	5.564
7.225	5.542
7.225	5.520
7.225	5.497
7.225	5.476
7.224	5.453
7.224	5.431
7.223	5.409
7.222	5.387
7.230	5.373
7.252	5.370
7.273	5.363
7.293	5.356
7.314	5.349
7.335	5.341
7.355	5.332
7.373	5.319
7.391	5.306
7.409	5.293
7.427	5.280
7.444	5.267
7.458	5.250
7.473	5.234
7.488	5.217
7.503	5.201
7.517	5.184
7.527	5.165
7.537	5.145
7.546	5.125
7.556	5.105
7.563	5.084
7.549	5.075
7.527	5.077
7.505	5.077
7.483	5.076
7.461	5.075
7.439	5.073
7.418	5.067
7.397	5.061
7.375	5.055
7.354	5.049
7.333	5.042
7.313	5.032
7.293	5.023
7.273	5.014
7.253	5.005
7.232	4.996
7.214	4.985
7.195	4.973
7.176	4.961
7.157	4.950
7.139	4.938
7.121	4.926
7.104	4.912
7.086	4.898
7.069	4.884
7.052	4.870
7.035	4.856
7.018	4.842
7.002	4.827
6.986	4.811
6.971	4.796
6.955	4.781
6.939	4.765
6.923	4.750
6.907	4.734
6.891	4.719
6.877	4.703
6.862	4.687
6.847	4.670
6.832	4.654
6.817	4.638
6.802	4.621
6.787	4.605
6.772	4.589
6.758	4.573
6.744	4.555
6.730	4.538
6.716	4.520
6.703	4.503
6.689	4.486
6.675	4.468
6.661	4.451
6.648	4.433
6.635	4.416
6.621	4.399
6.604	4.394
6.593	4.413
6.583	4.433
6.573	4.453
6.563	4.472
6.553	4.492
6.544	4.512
6.534	4.532
6.525	4.552
6.517	4.573
6.503	4.578
6.497	4.557
6.493	4.536
6.492	4.514
6.490	4.492
6.488	4.470
6.488	4.448
6.488	4.426
6.487	4.404
6.487	4.382
6.487	4.360
6.487	4.338
6.487	4.316
6.488	4.294
6.488	4.271
6.489	4.249
6.489	4.227
6.491	4.205
6.493	4.183
6.496	4.161
6.498	4.139
6.501	4.118
6.507	4.096
6.513	4.075
6.519	4.053
6.526	4.033
6.534	4.012
6.543	3.992
6.551	3.971
6.560	3.951
6.569	3.931
6.579	3.911
6.587	3.896
6.593	3.918
6.598	3.939
6.603	3.960
6.609	3.981
6.616	4.002
6.623	4.023
6.631	4.044
6.640	4.063
6.650	4.083
6.659	4.103
6.670	4.122
6.681	4.142
6.691	4.161
6.702	4.180
6.713	4.200
6.724	4.219
6.740	4.227
6.750	4.208
6.759	4.188
6.768	4.168
6.778	4.148
6.788	4.128
6.799	4.109
6.810	4.090
6.821	4.071
6.833	4.053
6.845	4.034
6.856	4.015
6.868	3.997
6.884	3.981
6.905	3.982
6.925	3.988
6.939	4.005
6.953	4.022
6.966	4.040
6.980	4.057
6.994	4.074
7.008	4.092
7.021	4.109
7.034	4.127
7.046	4.145
7.059	4.163
7.071	4.182
7.084	4.200
7.097	4.218
7.108	4.236
7.117	4.257
7.126	4.277
7.135	4.297
7.145	4.317
7.151	4.338
7.137	4.335
7.117	4.326
7.097	4.317
7.076	4.311
7.055	4.304
7.033	4.298
7.012	4.297
6.990	4.299
6.968	4.300
6.949	4.309
6.929	4.320
6.911	4.331
6.898	4.350
6.886	4.367
6.873	4.385
6.868	4.406
6.875	4.426
6.889	4.443
6.904	4.459
6.920	4.474
6.935	4.490
6.951	4.506
6.967	4.521
6.983	4.536
7.000	4.550
7.009	4.535
7.011	4.513
7.017	4.493
7.026	4.473
7.040	4.456
7.056	4.440
7.076	4.433
7.097	4.430
7.119	4.435
7.138	4.443
7.156	4.456
7.171	4.471
7.184	4.490
7.196	4.508
7.205	4.528
7.210	4.549
7.216	4.571
7.219	4.592
7.217	4.614
7.215	4.637
7.212	4.658
7.203	4.678
7.194	4.698
7.186	4.719
7.188	4.739
7.202	4.756
7.218	4.771
7.234	4.786
7.250	4.800
7.267	4.814
7.284	4.827
7.304	4.832
7.312	4.811
7.318	4.790
7.322	4.768
7.326	4.746
7.330	4.725
7.332	4.703
7.335	4.681
7.337	4.659
7.338	4.638
7.339	4.615
7.340	4.593
7.340	4.572
7.339	4.549
7.338	4.527
7.337	4.505
7.335	4.484
7.331	4.462
7.328	4.440
7.324	4.418
7.319	4.397
7.313	4.376
7.307	4.354
7.300	4.334
7.291	4.313
7.283	4.293
7.274	4.272
7.265	4.253
7.255	4.233
7.245	4.213
7.246	4.205
7.266	4.216
7.283	4.229
7.301	4.242
7.319	4.256
7.335	4.269
7.350	4.286
7.366	4.302
7.381	4.318
7.396	4.335
7.411	4.351
7.425	4.367
7.439	4.385
7.452	4.402
7.466	4.419
7.480	4.437
7.494	4.454
7.504	4.473
7.515	4.493
7.525	4.512
7.537	4.527
7.551	4.515
7.559	4.494
7.567	4.474
7.573	4.453
7.578	4.431
7.584	4.410
7.588	4.389
7.592	4.367
7.595	4.345
7.598	4.324
7.600	4.301
7.602	4.279
7.602	4.257
7.600	4.235
7.596	4.214
7.590	4.193
7.583	4.172
7.576	4.150
7.569	4.130
7.561	4.109
7.554	4.089
7.546	4.068
7.538	4.047
7.530	4.026
7.523	4.005
7.515	3.985
7.506	3.965
7.497	3.945
7.488	3.924
7.479	3.904
7.470	3.884
7.461	3.864
7.452	3.844
7.443	3.824
7.434	3.804
7.423	3.784
7.413	3.765
7.403	3.745
7.393	3.726
7.383	3.706
7.372	3.686
7.362	3.667
7.352	3.647
7.342	3.628
7.331	3.609
7.319	3.590
7.308	3.571
7.297	3.551
7.286	3.532
7.275	3.513
7.263	3.494
7.252	3.475
7.241	3.456
7.230	3.437
7.218	3.419
7.206	3.400
7.194	3.381
7.182	3.363
7.171	3.344
7.158	3.326
7.146	3.307
7.134	3.289
7.122	3.271
7.109	3.252
7.097	3.234
7.085	3.216
7.072	3.197
7.060	3.179
7.047	3.161
7.035	3.142
7.022	3.124
7.008	3.108
6.992	3.105
6.976	3.121
6.961	3.137
6.946	3.152
6.932	3.169
6.917	3.185
6.902	3.201
6.887	3.217
6.871	3.233
6.856	3.249
6.840	3.265
6.825	3.281
6.809	3.295
6.792	3.310
6.775	3.324
6.759	3.338
6.742	3.353
6.725	3.367
6.708	3.381
6.691	3.394
6.673	3.407
6.655	3.419
6.637	3.432
6.619	3.445
6.601	3.457
6.583	3.470
6.563	3.480
6.543	3.490
6.523	3.500
6.503	3.510
6.484	3.520
6.463	3.527
6.442	3.534
6.440	3.525
6.453	3.508
6.468	3.491
6.482	3.474
6.496	3.457
6.510	3.440
6.524	3.423
6.537	3.406
6.551	3.388
6.565	3.371
6.578	3.353
6.592	3.336
6.605	3.319
6.617	3.300
6.629	3.282
6.641	3.263
6.654	3.245
6.666	3.226
6.678	3.208
