x	y	theta1	theta2	steps1	steps2	interval
0.015	5.653	149.769	82.846	0	0	0
0.015	5.653	149.773	82.846	0	0	0
0.015	5.652	149.777	82.846	0	0	0
0.014	5.652	149.782	82.846	0	0	0
0.014	5.651	149.786	82.847	0	0	0
0.014	5.651	149.790	82.847	0	0	0
0.013	5.651	149.794	82.847	0	0	0
0.013	5.650	149.798	82.847	0	0	0
0.013	5.650	149.802	82.847	0	0	0
0.013	5.649	149.806	82.848	0	0	0
0.012	5.649	149.810	82.848	0	0	0
0.012	5.648	149.815	82.848	0	0	0
0.012	5.648	149.819	82.848	0	0	0
0.011	5.648	149.823	82.848	0	0	0
0.011	5.647	149.827	82.848	0	0	0
0.011	5.647	149.831	82.849	0	0	0
0.011	5.646	149.835	82.849	0	0	0
0.010	5.646	149.839	82.849	0	0	0
0.010	5.646	149.843	82.849	0	0	0
0.010	5.645	149.847	82.849	0	0	0
0.010	5.645	149.847	82.849	0	0	0
0.010	5.645	149.852	82.847	0	0	0
0.009	5.644	149.856	82.846	0	0	0
0.009	5.644	149.860	82.844	0	0	0
0.009	5.643	149.864	82.842	0	0	0
0.009	5.643	149.868	82.840	0	0	0
0.009	5.642	149.872	82.838	0	0	0
0.009	5.642	149.877	82.836	0	0	0
0.009	5.641	149.881	82.834	0	0	0
0.009	5.641	149.885	82.832	0	0	0
0.009	5.640	149.889	82.830	0	0	0
0.008	5.640	149.893	82.829	0	0	0
